,emphasized,actual
35000038,hooooooorrible,horrible
35000040,hhhhorrible,horrible
35000042,hhhhhhhhhhhhhhorrible,horrible
35000043,horribleeeeeeeeee,horrible
35000044,hooooooooooooooorrible,horrible
35000045,hoooooooooooorrible,horrible
35000046,horriiiiiiiiiiiiible,horrible
35000050,horribbbbbbbbbbbbbbble,horrible
35000053,horrrrrrrrrrrrrrrrible,horrible
35000055,horribbbbbbbbbbble,horrible
35000057,hhhhhhhorrible,horrible
35000058,horribleeeeeeeeeeee,horrible
35000059,hoooooooorrible,horrible
35000060,horriiiiiiiible,horrible
35000062,horriiiiiiiiiible,horrible
35000063,hhhhhhhhhhhhhorrible,horrible
35000067,horribbbble,horrible
35000069,horriiiiiiiiiiible,horrible
35000071,horribllllllllllle,horrible
35000076,horrrrrrrrrrrrrrrible,horrible
35000080,horrrrrrrrrible,horrible
35000081,hoooooorrible,horrible
35000084,horriiiiiiiiiiiiiiible,horrible
35000085,horriblee,horrible
35000087,horribllllllllllllle,horrible
35000088,horribbbbbbbbbbbbble,horrible
35000089,hooooooooooorrible,horrible
35000093,horrrrrrrrrrrrible,horrible
35000094,horribleeeeeeeeeeeeee,horrible
35000098,hooooooooooooorrible,horrible
35000102,horribllllllllle,horrible
35000103,horribleeeeeeeeeee,horrible
35000106,hooooooooorrible,horrible
35000110,hhhhhorrible,horrible
35000111,horribleeeeeeeeeeeeeee,horrible
35000118,horriiiiible,horrible
35000125,horriiiiiiiiiiiible,horrible
35000126,horriiiiiiiiible,horrible
35000128,horribllle,horrible
35000132,hhhhhhhhhhorrible,horrible
35000135,horrrrrrrrrrrrrible,horrible
35000142,horribllllllllllllllle,horrible
35000146,horribbbbbbbbble,horrible
35000149,horribbbbbbble,horrible
35000151,horriblllllllllllle,horrible
35000152,horribbble,horrible
35000154,hhhhhhhhhhhorrible,horrible
35000155,horriible,horrible
35000158,hhhhhhorrible,horrible
35000166,horriblllllllllllllle,horrible
35000168,hooooorrible,horrible
35000169,horriiiiiiiiiiiiiible,horrible
35000173,horribleeeeeeee,horrible
35000174,hhhhhhhhorrible,horrible
35000185,hhhhhhhhhhhhorrible,horrible
35000187,horribllllle,horrible
35000215,hhorrible,horrible
35000218,horriiible,horrible
35000246,hoooooooooorrible,horrible
35000271,hooorrible,horrible
35000286,horriblle,horrible
35000318,horribllllllle,horrible
35000330,horribleeee,horrible
35000340,horribleeeeeeeee,horrible
35000540,horriblllllle,horrible
36000000,yummyyyy,yummy
36000001,yyyyyyyyyyyyyyyummy,yummy
36000002,yyyyyyyyyyyyyummy,yummy
36000003,yuuuuuuuuuuuuuummy,yummy
36000004,yummyyyyy,yummy
36000005,yummyyyyyyy,yummy
36000006,yummmmmmmmy,yummy
36000007,yyyummy,yummy
36000008,yummmmmmmmmy,yummy
36000010,yummmmmmy,yummy
36000011,yummyyyyyyyyyyy,yummy
36000012,yyyyyyyyyummy,yummy
36000013,yummmmmmmmmmmmmy,yummy
36000014,yuuuuuuummy,yummy
36000017,yummyyyyyyyy,yummy
36000018,yuuuuummy,yummy
36000019,yummyyyyyyyyyy,yummy
36000020,yummmmmmmmmmmmmmmmy,yummy
36000021,yuuuummy,yummy
36000023,yummmmmmmmmmmmy,yummy
36000026,yummmmmmmmmmmy,yummy
36000028,yyyyyummy,yummy
36000029,yuuuuuummy,yummy
36000030,yyyyyyummy,yummy
36000031,yyyyyyyyyyyyyyummy,yummy
36000036,yuuuuuuuuuuuuuuummy,yummy
36000038,yummmmmmmmmmy,yummy
36000039,yuuuuuuuuuummy,yummy
36000040,yummyyyyyyyyy,yummy
36000044,yyyyyyyyyyyummy,yummy
36000045,yuuummy,yummy
36000050,yyyyyyyyyyyyummy,yummy
36000052,yyyyyyyummy,yummy
36000056,yummmmmmmy,yummy
36000058,yummyy,yummy
36000059,yummmmmy,yummy
36000064,yyyyummy,yummy
36000066,yummyyyyyyyyyyyyy,yummy
36000069,yummmmy,yummy
36000072,yyyyyyyyummy,yummy
36000074,yummmy,yummy
36000078,yummmmmmmmmmmmmmmy,yummy
36000079,yuuuuuuuummy,yummy
36000085,yummyyyyyyyyyyyyyy,yummy
36000087,yyummy,yummy
36000097,yuuuuuuuuuuuuummy,yummy
36000099,yuummy,yummy
36000100,yuuuuuuuuummy,yummy
36000102,yummmmmmmmmmmmmmy,yummy
36000109,yyyyyyyyyyummy,yummy
36000117,yummyyyyyyyyyyyy,yummy
36000123,yuuuuuuuuuuummy,yummy
36000128,yummyyy,yummy
36000155,yuuuuuuuuuuuummy,yummy
36000191,yummyyyyyyyyyyyyyyy,yummy
36000343,yummyyyyyy,yummy
37000000,wwwwwoo,woo
37000001,wooooooooo,woo
37000002,wooooooooooo,woo
37000003,wooooo,woo
37000004,wwwwoo,woo
37000006,wooooooo,woo
37000007,woooooooooooo,woo
37000008,wwwwwwwwwwwwwoo,woo
37000009,wwwwwwwwwwwwwwwoo,woo
37000011,wooooooooooooooo,woo
37000012,wwwwwwwoo,woo
37000013,woooooooooooooooo,woo
37000014,woooooooo,woo
37000015,wwwwwwwwwwwoo,woo
37000017,wooo,woo
37000025,woooooooooooooo,woo
37000028,wwwwwwwwoo,woo
37000029,wwwwwwwwwoo,woo
37000036,woooooo,woo
37000037,wwwwwwoo,woo
37000042,wwoo,woo
37000044,woooo,woo
37000051,woooooooooo,woo
37000053,wwwwwwwwwwwwoo,woo
37000058,wwwwwwwwwwoo,woo
37000059,wooooooooooooo,woo
37000073,wwwwwwwwwwwwwwoo,woo
37000155,wwwoo,woo
38000000,wwwwwwwwwwwwwway,way
38000001,wwwwwwwwwwwwwwway,way
38000002,waaaaaaaaaay,way
38000003,wayyyyyyy,way
38000004,wwwwwwwwway,way
38000005,waaaaaaaaaaaay,way
38000006,wwwwwwwwwway,way
38000008,wayy,way
38000009,wayyyyyyyy,way
38000010,waaaaaaaaaaaaay,way
38000011,wwwwway,way
38000012,wayyyyyyyyyyyyy,way
38000013,wayyyyyyyyy,way
38000014,wayyyyyyyyyyyyyy,way
38000015,wwwwwwwwwwwway,way
38000016,wayyyyyyyyyyy,way
38000017,waaaaaay,way
38000018,waaay,way
38000023,waaaaaaaaay,way
38000024,wayyy,way
38000025,wayyyy,way
38000028,waaaaay,way
38000029,wway,way
38000030,wwwwwwwway,way
38000033,waay,way
38000035,wayyyyyyyyyy,way
38000038,waaaaaaaaaaaaaay,way
38000040,wwwwwwwwwwwwway,way
38000044,waaaaaaaay,way
38000048,wayyyyy,way
38000049,wwway,way
38000051,wwwwwwway,way
38000055,waaaaaaaaaaaaaaay,way
38000059,waaaaaaay,way
38000060,wwwway,way
38000062,wayyyyyy,way
38000072,waaaay,way
38000080,waaaaaaaaaaay,way
38000085,wwwwwwwwwwway,way
38000086,wayyyyyyyyyyyy,way
38000092,wwwwwway,way
38000117,wayyyyyyyyyyyyyyy,way
39000000,ssssssssssssssso,so
39000001,ssssso,so
39000002,ssso,so
39000003,soo,so
39000004,ssssssso,so
39000005,soooooo,so
39000006,soooooooooooooo,so
39000007,sso,so
39000009,soooooooo,so
39000012,sssssssssssso,so
39000014,soooooooooo,so
39000015,ssssssssssso,so
39000017,sooo,so
39000018,soooo,so
39000022,sssssssssssssso,so
39000023,ssssssssssssso,so
39000024,soooooooooooo,so
39000026,sssssssssso,so
39000029,sooooooooooooooo,so
39000031,sssssso,so
39000034,sooooooo,so
39000036,sooooooooooooo,so
39000037,sooooooooo,so
39000044,ssssssssso,so
39000057,sssso,so
39000062,sssssssso,so
39000090,sooooooooooo,so
39000138,sooooo,so
40000000,ughhhhhhhhhhhhh,ugh
40000002,uggggggh,ugh
40000003,ughhhhhhhhhhh,ugh
40000004,ughhhhhhhhhhhh,ugh
40000005,ughhhhhh,ugh
40000006,uggggggggggggggh,ugh
40000007,ughhhhhhhhh,ugh
40000008,uggggh,ugh
40000009,ugggggggggh,ugh
40000010,ugggggh,ugh
40000011,uuuugh,ugh
40000013,uuuuuuugh,ugh
40000014,ughhhh,ugh
40000015,ughhhhh,ugh
40000016,uuuuuuuuuuuugh,ugh
40000017,ughhhhhhh,ugh
40000018,uuuuuuuuuuuuuugh,ugh
40000019,uuuuuuuuugh,ugh
40000020,uggggggggh,ugh
40000021,ugggggggggggggggh,ugh
40000023,uuugh,ugh
40000028,uggggggggggh,ugh
40000029,ughhhhhhhhhhhhhh,ugh
40000038,ugggh,ugh
40000039,uuuuuuuuuuuuugh,ugh
40000041,ughhhhhhhhhhhhhhh,ugh
40000042,uugh,ugh
40000044,uuuuuuuuuuuuuuugh,ugh
40000046,uuuuuuuugh,ugh
40000050,ugggggggggggggh,ugh
40000052,ughh,ugh
40000066,ughhhhhhhh,ugh
40000071,uuuuuuuuuuugh,ugh
40000075,ugggggggh,ugh
40000080,ughhh,ugh
40000086,uggggggggggggh,ugh
40000087,uuuuuuuuuugh,ugh
40000089,uuuuuugh,ugh
40000091,uuuuugh,ugh
40000097,uggh,ugh
40000131,ugggggggggggh,ugh
40000144,ughhhhhhhhhh,ugh
41000000,reaaaaaaaaaaaaaaally,really
41000001,reallyyyyy,really
41000002,reallyyyyyyyyyyy,really
41000003,reeeeeeeeeeeeeally,really
41000004,reallyyyyyyyyyyyyyy,really
41000005,reaaaaaaaaaally,really
41000006,reallllllllly,really
41000007,reaaaaaaaally,really
41000008,rrrrrrrrrrrreally,really
41000009,reaally,really
41000010,realllllly,really
41000011,reallly,really
41000014,rrrrrrrrreally,really
41000016,reaaaaaaaaaaaaaally,really
41000017,realllllllllly,really
41000019,rrrrrrrrrreally,really
41000021,reaaaaaaally,really
41000022,reallllly,really
41000024,reaaaally,really
41000025,rrrrrrrrrrreally,really
41000026,realllllllllllly,really
41000027,reaaally,really
41000028,reallllllllllllly,really
41000032,reaaaaaaaaaaally,really
41000033,reaaaaaally,really
41000035,realllly,really
41000036,reeeeally,really
41000037,realllllllllllllly,really
41000040,rrrrrrrrrrrrreally,really
41000041,reallllllllllly,really
41000042,rrreally,really
41000043,reallyy,really
41000044,realllllllllllllllly,really
41000046,realllllllly,really
41000047,rrrrrreally,really
41000048,rrrrrrrreally,really
41000059,reallyyyyyyyyyyyyy,really
41000060,reeally,really
41000065,rrrrreally,really
41000070,reeeeeeeeeally,really
41000071,reeeeeeeeeeally,really
41000082,reeeeeeally,really
41000085,reallyyyyyy,really
41000086,reeeally,really
41000094,reeeeeeeeeeeeally,really
41000098,reaaaaaaaaaaaally,really
41000100,reallllllllllllllly,really
41000101,reallyyyyyyyy,really
41000103,rrrrrrrrrrrrrreally,really
41000107,reeeeeeeeeeeeeeally,really
41000114,reallyyyyyyy,really
41000127,reallllllly,really
41000132,reaaaaaaaaally,really
41000136,reaaaaally,really
41000139,reallyyy,really
41000153,reeeeeeeally,really
41000154,reeeeeally,really
41000161,reallyyyyyyyyyy,really
41000163,reallyyyyyyyyy,really
41000164,reeeeeeeeally,really
41000165,reallyyyyyyyyyyyyyyy,really
41000172,reallyyyyyyyyyyyy,really
41000179,rrrrrrrrrrrrrrreally,really
41000182,rrrrrrreally,really
41000185,reallyyyy,really
41000214,reeeeeeeeeeeally,really
41000268,rreally,really
41000278,reaaaaaaaaaaaaally,really
41000305,reeeeeeeeeeeeeeeally,really
41000525,rrrreally,really
43000000,verrrrrrry,very
43000001,vvvery,very
43000003,verrrrrrrrrrrrry,very
43000004,veeeeeery,very
43000005,vvvvvvvvvvery,very
43000006,veery,very
43000007,veryyyy,very
43000008,verrrrrrrrrry,very
43000009,veeeeeeeeeeery,very
43000010,verrrrrrrrry,very
43000011,veryyyyyyyyyyyyyy,very
43000012,verrry,very
43000013,veeeeeeeeeeeeeery,very
43000016,veeeeeeeeeery,very
43000017,vvery,very
43000023,vvvvvvvvvvvvvery,very
43000024,vvvvvvvvvvvvery,very
43000025,veryyyyyy,very
43000027,veeeeery,very
43000028,veryyyyyyy,very
43000029,veeeery,very
43000030,vvvvvvvery,very
43000031,veryy,very
43000032,vvvvvery,very
43000037,vvvvvvvvvvvery,very
43000038,veeeeeeeeeeeery,very
43000043,veryyyyyyyyyyyyy,very
43000045,verrrrry,very
43000046,verrrrrrrrrrrrrrry,very
43000047,veeeeeeery,very
43000048,verrrrrrrrrrrry,very
43000051,veryyyyyyyyyyyyyyy,very
43000053,verrrrrrrrrrrrrry,very
43000055,verrrrrrrry,very
43000058,vvvvvvvvvvvvvvery,very
43000061,vvvvvvvvvvvvvvvery,very
43000062,veeery,very
43000067,vvvvery,very
43000069,verry,very
43000070,verrrrrry,very
43000083,veryyy,very
43000090,vvvvvvvvvery,very
43000098,veeeeeeeeeeeeeeery,very
43000099,veeeeeeeeeeeeery,very
43000107,vvvvvvery,very
43000118,veryyyyyyyyyyyy,very
43000121,veryyyyyyyyyy,very
43000125,verrrrrrrrrrry,very
43000131,veeeeeeeeery,very
43000142,veryyyyyyyyyyy,very
43000160,veryyyyyyyyy,very
43000170,verrrry,very
43000196,veryyyyy,very
43000207,veeeeeeeery,very
43000223,veryyyyyyyy,very
43000263,vvvvvvvvery,very
44000000,toooooooooooooo,too
44000001,ttttttoo,too
44000002,toooooo,too
44000003,tttttttttttoo,too
44000005,tooooooooo,too
44000006,toooooooooo,too
44000008,toooooooooooo,too
44000009,tooooooooooooo,too
44000011,tooooooooooo,too
44000012,toooooooo,too
44000013,tttttoo,too
44000016,tooooooooooooooo,too
44000017,tooooooo,too
44000018,ttttttttttttoo,too
44000020,ttttoo,too
44000024,tttttttoo,too
44000025,tooo,too
44000028,tttoo,too
44000031,tttttttttttttttoo,too
44000032,tooooo,too
44000033,toooooooooooooooo,too
44000040,toooo,too
44000050,ttttttttttoo,too
44000052,tttttttttttttoo,too
44000065,ttoo,too
44000094,ttttttttoo,too
44000099,ttttttttttttttoo,too
44000222,tttttttttoo,too
45000000,nooooooooooooooo,no
45000001,nooooo,no
45000002,nnnnnnnnno,no
45000003,noo,no
45000004,noooooo,no
45000005,nnnnno,no
45000006,nooo,no
45000008,noooooooooooooo,no
45000009,nnnnnnnnnnnnnno,no
45000010,nnno,no
45000012,nnnnnnnnnnnnno,no
45000013,nooooooooooooo,no
45000015,nno,no
45000016,nnnnnnnnnnnno,no
45000018,nooooooo,no
45000019,noooooooooooo,no
45000021,nnnnnno,no
45000025,nnnnnnno,no
45000028,nnnnnnnnnnno,no
45000029,noooooooooo,no
45000030,noooooooo,no
45000031,nooooooooo,no
45000037,nnnnnnnno,no
45000038,nnnnnnnnnno,no
45000043,nnnno,no
45000046,noooo,no
45000052,nnnnnnnnnnnnnnno,no
45000118,nooooooooooo,no
46000000,allllll,all
46000001,alllll,all
46000002,allllllll,all
46000004,aaaaaall,all
46000005,aaaaaaaaaaaaall,all
46000006,aaaaaaaaaaaaaaall,all
46000007,allllllllllllll,all
46000008,alll,all
46000009,alllllllllllll,all
46000010,alllllll,all
46000011,allllllllll,all
46000012,allllllllllllllll,all
46000013,alllllllll,all
46000017,aaaaaaaaaaaall,all
46000019,aaaaaaaaall,all
46000022,allllllllllll,all
46000024,alllllllllllllll,all
46000032,aaaall,all
46000036,aaaaaaaaaaall,all
46000040,allll,all
46000041,aaaaall,all
46000044,aaaaaaaaaaaaaall,all
46000050,aaall,all
46000065,alllllllllll,all
46000072,aaaaaaaall,all
46000085,aaaaaaall,all
46000166,aaaaaaaaaall,all
46000205,aall,all
47000000,jussssssssst,just
47000001,juuuuuust,just
47000002,juuuuuuuuuust,just
47000003,justtt,just
47000004,justtttttttttt,just
47000005,jussssssst,just
47000006,jusssssssst,just
47000007,jusssst,just
47000008,jjjjjjjjjust,just
47000009,juuuuuuuuuuust,just
47000010,juust,just
47000011,jussssssssssssst,just
47000013,juuuuuuuuuuuust,just
47000014,juuuuust,just
47000015,jusssssssssst,just
47000016,justttttt,just
47000017,justttttttttt,just
47000018,juuuuuuuuuuuuust,just
47000020,juuuuuuuust,just
47000021,jjust,just
47000022,juuuuuuuuust,just
47000025,jusssssssssssst,just
47000026,justttttttttttttt,just
47000029,jussssst,just
47000030,jusssssssssssssst,just
47000036,jjjjjust,just
47000040,jusst,just
47000041,justt,just
47000042,juuuuuuust,just
47000043,justtttttt,just
47000046,jussst,just
47000047,jjjjjjjjjjjjjust,just
47000049,justttttttttttt,just
47000050,jjjust,just
47000052,justtttt,just
47000057,jjjjjjjjjjjjust,just
47000060,juuust,just
47000061,jusssssst,just
47000062,jjjjjjjjjjust,just
47000064,jussssssssssssssst,just
47000065,jjjjjjust,just
47000069,jjjjjjjjjjjust,just
47000072,jjjjjjjjjjjjjjjust,just
47000076,juuuuuuuuuuuuuuust,just
47000079,jjjjjjjjjjjjjjust,just
47000081,justttttttt,just
47000084,justttt,just
47000088,juuuust,just
47000109,justtttttttttttt,just
47000136,justtttttttt,just
47000165,jjjjust,just
47000166,justtttttttttttttt,just
47000168,jjjjjjjust,just
47000184,jjjjjjjjust,just
47000240,juuuuuuuuuuuuuust,just
47000258,jussssssssssst,just
48000000,notttthing,nothing
48000001,nnnnnnnnnnnnothing,nothing
48000002,nnnnnnnnnnnnnnothing,nothing
48000003,nothiiiiiiiing,nothing
48000004,nnothing,nothing
48000005,nnnnnnnnnnnnnothing,nothing
48000006,nnnnnnothing,nothing
48000007,nothinnng,nothing
48000008,nothiiiiiiiiiiing,nothing
48000009,nothinnnng,nothing
48000011,nnnnnnnnnnnnnnnothing,nothing
48000012,nnnnnnnnnnnothing,nothing
48000013,nothhhhhhhhhhhhhing,nothing
48000014,nothinggg,nothing
48000015,nothiiiiiiiiiiiiiing,nothing
48000016,nooothing,nothing
48000017,nothhhhhhhing,nothing
48000018,nothiiiiiiiiiiiiing,nothing
48000019,nnnnnnnnothing,nothing
48000020,nnnnnnnnnothing,nothing
48000021,nothinnnnnnnnnnnnnnng,nothing
48000022,nothinnnnnnnnnnng,nothing
48000025,nothingggggggggggg,nothing
48000026,nottttttttttthing,nothing
48000028,nottttttttthing,nothing
48000029,nothinggggggggggggggg,nothing
48000030,noooothing,nothing
48000031,nothiiiing,nothing
48000032,notttttttttttttthing,nothing
48000033,nothinggggggggggg,nothing
48000034,nottttttttttttthing,nothing
48000035,nothingggg,nothing
48000036,nottttttttttttttthing,nothing
48000040,nothinnnnnnnnnnnnnng,nothing
48000042,nothiiing,nothing
48000043,nnnnnnnnnnothing,nothing
48000045,nothhhhhhhhhhing,nothing
48000046,nnnnnnnothing,nothing
48000050,nothiiiiiiiiiiiiiiing,nothing
48000051,nothinggggggg,nothing
48000053,notthing,nothing
48000054,nooooooooooooooothing,nothing
48000055,nothingggggggg,nothing
48000061,nothiing,nothing
48000062,nottthing,nothing
48000064,nothiiiiiiiiiiiing,nothing
48000065,nottttttthing,nothing
48000066,noooooooooooothing,nothing
48000067,nooooooooooothing,nothing
48000069,nothhhhhhhhhing,nothing
48000070,nothiiiiiing,nothing
48000072,nothinnnnnnnnnnnng,nothing
48000074,noooooooothing,nothing
48000076,nothinnnnnng,nothing
48000077,nothinnnnnnnnng,nothing
48000078,nothhhhhhhhhhhhing,nothing
48000079,nooooooooothing,nothing
48000082,nothingggggggggggggg,nothing
48000086,nothinggggggggg,nothing
48000088,nothingggggggggg,nothing
48000093,nnnothing,nothing
48000098,nothiiiiiiiiing,nothing
48000101,notttttthing,nothing
48000104,nothhhhing,nothing
48000106,nothinnnnnnnnnng,nothing
48000108,nothhhhhhhhing,nothing
48000109,nothhhhhhhhhhhing,nothing
48000115,nothinnnnnnnnnnnnng,nothing
48000119,nothhing,nothing
48000120,nothhhhhhhhhhhhhhing,nothing
48000121,nooooothing,nothing
48000129,nothiiiiing,nothing
48000132,noothing,nothing
48000133,nothinnnnnnng,nothing
48000138,nnnnnothing,nothing
48000139,nothhhhhing,nothing
48000149,notttttttthing,nothing
48000150,nothhhhhhhhhhhhhhhing,nothing
48000151,noooooooooothing,nothing
48000152,nothhhhhhing,nothing
48000168,nottttthing,nothing
48000171,notttttttttttthing,nothing
48000182,nothhhing,nothing
48000200,nooooooooooooothing,nothing
48000205,nnnnothing,nothing
48000206,nothiiiiiiing,nothing
48000214,nothinnnnnnnng,nothing
48000224,nothingggggg,nothing
48000253,noooooothing,nothing
48000265,noooooooooooooothing,nothing
48000268,nothinnnnng,nothing
48000274,nothinggggggggggggg,nothing
48000278,notttttttttthing,nothing
48000287,nothiiiiiiiiiing,nothing
48000297,nothingg,nothing
48000314,nothinng,nothing
48000334,nothinggggg,nothing
48000429,nooooooothing,nothing
49000000,buuuuuuuuuut,but
49000001,bbbbbbbbut,but
49000003,buttttttttttttttt,but
49000004,buut,but
49000005,buuuuuuuuuuuut,but
49000006,buttttttttttt,but
49000008,butttt,but
49000009,bbbbbbbut,but
49000010,butttttttttttttt,but
49000011,buttttttttt,but
49000012,buuut,but
49000013,buuuuuuut,but
49000014,buuuuuuuuuuut,but
49000015,butttttttttttt,but
49000016,buttttt,but
49000019,bbut,but
49000021,buttttttt,but
49000022,buttttttttttttt,but
49000023,bbbbbbbbbbbbbbut,but
49000026,buttt,but
49000029,bbbbut,but
49000031,bbbbbbut,but
49000032,buuuuuut,but
49000034,buuuuuuuut,but
49000036,buuuuuuuuuuuuuut,but
49000039,buuuuuuuuuuuuut,but
49000040,bbbbbbbbbbbut,but
49000043,bbbbbbbbbbbbbut,but
49000045,bbbut,but
49000051,bbbbbbbbbbut,but
49000055,bbbbbut,but
49000058,buuuuuuuuut,but
49000062,butttttttttt,but
49000063,buuuuuuuuuuuuuuut,but
49000068,bbbbbbbbbut,but
49000077,butt,but
49000082,bbbbbbbbbbbbut,but
49000085,butttttttt,but
49000089,bbbbbbbbbbbbbbbut,but
49000092,butttttt,but
49000116,buuuut,but
49000140,buuuuut,but
50000000,beeeeeeeetter,better
50000001,bettttttttter,better
50000002,bbbbbbbbbbbbbbbetter,better
50000003,bbbetter,better
50000004,betttttttttter,better
50000005,betttttttttttttter,better
50000006,bbbbbbetter,better
50000008,betterrrrrrrrrrrrrr,better
50000009,bettttttter,better
50000010,bettttter,better
50000011,betterrr,better
50000012,betterrrrrrrrrrrr,better
50000013,bettttttttttttttter,better
50000015,betttter,better
50000016,beeeeetter,better
50000018,betterrrr,better
50000019,betterrrrrrr,better
50000020,bettttttttttter,better
50000022,bettttttttttttter,better
50000023,beeeeeetter,better
50000024,beeeeeeeeeeeetter,better
50000025,betteeeeeeeeeer,better
50000030,bettter,better
50000032,beeeetter,better
50000033,betterrrrrrrrrrr,better
50000034,betteeeeeeeeeeeeeeer,better
50000037,bbbbbbbetter,better
50000038,beeeeeeeeeetter,better
50000041,betttttter,better
50000045,bbbbetter,better
50000046,beeeeeeeeeeetter,better
50000047,beeetter,better
50000048,bbbbbbbbetter,better
50000050,betterrrrrr,better
50000052,betttttttttttter,better
50000053,bbbbbbbbbbbbbbetter,better
50000055,betttttttter,better
50000056,betteeer,better
50000058,betterr,better
50000059,betterrrrr,better
50000062,betteeeeeeeeeeer,better
50000064,betttttttttttttttter,better
50000067,betterrrrrrrrr,better
50000072,betterrrrrrrr,better
50000074,betteeeeer,better
50000076,bbbbbbbbbbbbetter,better
50000083,betteeeeeeeer,better
50000085,bbbbbbbbbbbetter,better
50000086,beeeeeeeeetter,better
50000087,betteeeeeeer,better
50000088,beeeeeeeeeeeeeeetter,better
50000093,beeeeeeetter,better
50000096,betteeeeeer,better
50000099,bbbbbbbbbetter,better
50000100,betteer,better
50000113,beeeeeeeeeeeeeetter,better
50000115,betteeeeeeeeer,better
50000119,betteeeeeeeeeeeer,better
50000120,betterrrrrrrrrr,better
50000121,betteeeeeeeeeeeeer,better
50000125,bbbbbetter,better
50000126,beeeeeeeeeeeeetter,better
50000139,betteeeer,better
50000140,bbbbbbbbbbbbbetter,better
50000210,beetter,better
50000237,bbetter,better
50000240,betteeeeeeeeeeeeeer,better
50000247,betterrrrrrrrrrrrrrr,better
50000281,bbbbbbbbbbetter,better
50000399,betterrrrrrrrrrrrr,better
51000000,neeeeeeed,need
51000001,nnneed,need
51000002,neeeed,need
51000004,neeeeeeeeeeeeed,need
51000005,nnnnnneed,need
51000006,needdddddddddddd,need
51000007,neeed,need
51000008,needdddddddddddddd,need
51000009,nnnnnnnnneed,need
51000010,nnnneed,need
51000011,neeeeeeeeeeeeeeed,need
51000013,nneed,need
51000015,nnnnnnnnnnnnneed,need
51000016,nnnnnnnneed,need
51000017,needdddd,need
51000018,neeeeeeeeeed,need
51000021,needdddddddd,need
51000023,nnnnnnnnnnnneed,need
51000024,needdddddd,need
51000025,neeeeeeeeeeeeeed,need
51000026,neeeeed,need
51000027,neeeeeeeeeeeeeeeed,need
51000029,needdd,need
51000030,neeeeeed,need
51000032,neeeeeeeeeeed,need
51000035,needdddddddddd,need
51000036,needddddddddddd,need
51000039,needddd,need
51000044,nnnnnnnnnnnnnneed,need
51000048,nnnnnnnnnnnnnnneed,need
51000051,nnnnnnnnnnneed,need
51000053,needd,need
51000063,neeeeeeeed,need
51000065,neeeeeeeeeeeed,need
51000068,nnnnnnneed,need
51000069,needddddddddd,need
51000071,nnnnneed,need
51000072,nnnnnnnnnneed,need
51000073,needddddd,need
51000097,needddddddddddddd,need
51000100,neeeeeeeeed,need
51000113,needddddddd,need
52000000,itttt,it
52000001,iiiiiiit,it
52000002,iiiiiiiiiit,it
52000003,iiit,it
52000004,iiiiiiiiiiiiiiit,it
52000006,ittttttttttttt,it
52000007,ittttttt,it
52000009,ittttttttttttttt,it
52000010,itttttttttt,it
52000011,iiiiiiiiiiiit,it
52000012,ittttttttt,it
52000013,iiiiiiiiiiit,it
52000014,ittttt,it
52000015,iiiiit,it
52000016,iiiiiiiiiiiiiit,it
52000018,iiiit,it
52000020,iiiiiiiiit,it
52000022,itt,it
52000025,ittt,it
52000028,ittttttttttt,it
52000030,itttttttt,it
52000040,iiiiiiiiiiiiit,it
52000046,iiiiiit,it
52000050,itttttt,it
52000051,iit,it
52000067,iiiiiiiit,it
52000070,itttttttttttt,it
52000102,itttttttttttttt,it
